FID,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,all_househ,child_per_,Total_Population
121,2,Bronx,005,BX37,Van Nest-Morris Park-Westchester Square,42862.839168600003000,36303229.137199998000000,5161.000000000000000,1720.333333330000000,29250.000000000000000
122,4,Queens,081,QN17,Forest Hills,36171.495114400001000,57827640.351899996000000,9144.000000000000000,914.399999999999980,83728.000000000000000
123,4,Queens,081,QN60,Kew Gardens,21363.561423499999000,20459660.477699999000000,2573.000000000000000,2573.000000000000000,23278.000000000000000
124,3,Brooklyn,047,BK68,Fort Greene,19825.521037700000000,16482821.629000001000000,3203.000000000000000,355.888888888999990,26079.000000000000000
125,2,Bronx,005,BX01,Claremont-Bathgate,29972.776521899999000,16451616.343200000000000,6893.000000000000000,861.625000000000000,31078.000000000000000
126,2,Bronx,005,BX40,Fordham South,15880.352142100000000,6308874.955280000300000,5969.000000000000000,1492.250000000000000,28262.000000000000000
127,1,Manhattan,061,MN34,East Harlem North,30603.208936800002000,24494873.985800002000000,9919.000000000000000,619.937500000000000,58019.000000000000000
128,1,Manhattan,061,MN31,Lenox Hill-Roosevelt Island,37708.443791099999000,21501564.885299999000000,7058.000000000000000,2352.666666669999800,80771.000000000000000
129,4,Queens,081,QN68,Queensbridge-Ravenswood-Long Island City,27067.652744700001000,23317033.255899999000000,3468.000000000000000,495.428571428999990,20030.000000000000000
130,2,Bronx,005,BX39,Mott Haven-Port Morris,35592.689519200001000,41901529.827600002000000,10449.000000000000000,803.769230769000050,52413.000000000000000
131,4,Queens,081,QN72,Steinway,42971.828232599997000,57766862.321099997000000,4564.000000000000000,456.399999999999980,47534.000000000000000
132,4,Queens,081,QN42,Oakland Gardens,42405.912724000002000,51013693.702200003000000,3528.000000000000000,705.600000000000020,28237.000000000000000
133,4,Queens,081,QN23,College Point,58675.251619499999000,50559586.931500003000000,3314.000000000000000,828.500000000000000,24275.000000000000000
134,2,Bronx,005,BX14,East Concourse-Concourse Village,27275.849148000001000,18215530.329900000000000,11523.000000000000000,2880.750000000000000,62284.000000000000000
135,2,Bronx,005,BX49,Pelham Parkway,25817.608952600000000,23031132.088500001000000,4363.000000000000000,2181.500000000000000,30073.000000000000000
136,3,Brooklyn,047,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32543.177896800000000,28477158.938600000000000,4312.000000000000000,616.000000000000000,34495.000000000000000
137,2,Bronx,005,BX08,West Farms-Bronx River,17477.294938399999000,15084986.031600000000000,6439.000000000000000,1073.166666670000000,35011.000000000000000
138,2,Bronx,005,BX46,Parkchester,12411.788209500000000,9184677.038219999500000,5138.000000000000000,1712.666666670000000,29821.000000000000000
139,2,Bronx,005,BX55,Soundview-Bruckner,19756.559653699998000,16253358.296900000000000,6680.000000000000000,1113.333333330000000,35634.000000000000000
140,2,Bronx,005,BX05,Bedford Park-Fordham North,22565.481689699998000,14998883.120999999000000,10567.000000000000000,5283.500000000000000,54415.000000000000000
141,2,Bronx,005,BX43,Norwood,22150.308177100000000,15724928.342300000000000,7751.000000000000000,1291.833333330000000,40494.000000000000000
142,2,Bronx,005,BX27,Hunts Point,44767.507009499997000,49727972.912600003000000,5551.000000000000000,1387.750000000000000,27204.000000000000000
143,2,Bronx,005,BX75,Crotona Park East,24748.049364899998000,16316639.965700001000000,4339.000000000000000,2169.500000000000000,20277.000000000000000
144,5,Staten Island,085,SI08,Grymes Hill-Clifton-Fox Hills,37119.899263400002000,37752556.267700002000000,3655.000000000000000,913.750000000000000,22460.000000000000000
145,5,Staten Island,085,SI35,New Brighton-Silver Lake,30320.387596699999000,47137247.312500000000000,2458.000000000000000,614.500000000000000,17525.000000000000000
146,2,Bronx,005,BX13,Co-op City,30327.133662799999000,39833740.040799998000000,5922.000000000000000,0.000000000000000,43752.000000000000000
147,3,Brooklyn,047,BK64,Prospect Heights,15074.269757900000000,10230434.446400000000000,2179.000000000000000,544.750000000000000,19849.000000000000000
148,3,Brooklyn,047,BK30,Dyker Heights,30596.845371700001000,29911047.273800001000000,5142.000000000000000,857.000000000000000,42419.000000000000000
149,3,Brooklyn,047,BK31,Bay Ridge,44408.494047799999000,67117563.580599993000000,8852.000000000000000,804.727272727000010,79371.000000000000000
150,4,Queens,081,QN15,Far Rockaway-Bayswater,48676.727184500000000,54160918.636100002000000,8203.000000000000000,820.299999999999950,50058.000000000000000
151,4,Queens,081,QN29,Elmhurst,36711.471274900003000,32675598.814399999000000,10077.000000000000000,1119.666666670000000,88427.000000000000000
152,4,Queens,081,QN50,Elmhurst-Maspeth,32362.926918599998000,21928041.808699999000000,2869.000000000000000,956.333333333000040,25521.000000000000000
153,4,Queens,081,QN03,Springfield Gardens South-Brookville,45277.308326099999000,43257416.957699999000000,2962.000000000000000,740.500000000000000,20132.000000000000000
154,4,Queens,081,QN57,Lindenwood-Howard Beach,78603.276765899995000,63996505.071300000000000,2833.000000000000000,944.333333333000040,26148.000000000000000
155,4,Queens,081,QN05,Rosedale,63328.757023500002000,61592332.311800003000000,3885.000000000000000,777.000000000000000,25063.000000000000000
156,4,Queens,081,QN28,Jackson Heights,29422.681864300001000,47854806.186800003000000,12985.000000000000000,1855.000000000000000,108152.000000000000000
157,4,Queens,081,QN98,Airport,134730.087088000000000,227765916.277000010000000,0.000000000000000,0.000000000000000,0.000000000000000
158,4,Queens,081,QN53,Woodhaven,28067.663699299999000,37000431.066100001000000,8275.000000000000000,1655.000000000000000,56674.000000000000000
159,3,Brooklyn,047,BK09,Brooklyn Heights-Cobble Hill,14258.494799900000000,9984788.340940000500000,1976.000000000000000,282.285714285999970,22887.000000000000000
160,3,Brooklyn,047,BK33,Carroll Gardens-Columbia Street-Red Hook,60801.212454799999000,44599967.920699999000000,5457.000000000000000,454.750000000000000,38353.000000000000000
161,3,Brooklyn,047,BK73,North Side-South Side,28144.525573200001000,28868793.976000000000000,4648.000000000000000,332.000000000000000,45774.000000000000000
162,1,Manhattan,061,MN04,Hamilton Heights,17410.823138299998000,16093787.904999999000000,6025.000000000000000,860.714285713999970,48520.000000000000000
163,1,Manhattan,061,MN03,Central Harlem North-Polo Grounds,28102.837627299999000,25405307.570999999000000,12833.000000000000000,916.642857143000010,75282.000000000000000
164,5,Staten Island,085,SI05,New Springville-Bloomfield-Travis,109204.044945999990000,327760119.735000010000000,4951.000000000000000,707.285714286000030,39597.000000000000000
165,5,Staten Island,085,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,75920.268005000005000,184847740.678999990000000,3669.000000000000000,1223.000000000000000,30714.000000000000000
166,3,Brooklyn,047,BK21,Seagate-Coney Island,51800.019895300000000,38735875.836400002000000,5037.000000000000000,1007.400000000000000,31965.000000000000000
167,3,Brooklyn,047,BK23,West Brighton,14113.581521800001000,8738769.092189999300000,1499.000000000000000,499.666666667000020,17750.000000000000000
168,3,Brooklyn,047,BK82,East New York,88701.714199099995000,117054516.548999990000000,18322.000000000000000,1409.384615380000000,91958.000000000000000
169,3,Brooklyn,047,BK50,Canarsie,43694.015670699999000,82031594.586400002000000,14228.000000000000000,1185.666666670000000,83693.000000000000000
170,4,Queens,081,QN19,Glendale,41514.435178599997000,30016735.748100001000000,4703.000000000000000,1175.750000000000000,32496.000000000000000
171,4,Queens,081,QN21,Middle Village,42675.614348499999000,57684957.911499999000000,4551.000000000000000,1137.750000000000000,37929.000000000000000
172,1,Manhattan,061,MN01,Marble Hill-Inwood,31845.336485899999000,17732450.370499998000000,7087.000000000000000,1771.750000000000000,46746.000000000000000
173,2,Bronx,005,BX06,Belmont,17114.416725899999000,13557215.966800001000000,5290.000000000000000,2645.000000000000000,27378.000000000000000
174,1,Manhattan,061,MN11,Central Harlem South,16619.295800500000000,14436192.301200001000000,6462.000000000000000,2154.000000000000000,43383.000000000000000
175,3,Brooklyn,047,BK37,Park Slope-Gowanus,31475.949953500000000,42509349.141999997000000,7909.000000000000000,1318.166666670000000,67649.000000000000000
176,3,Brooklyn,047,BK32,Sunset Park West,84548.043172899997000,50064219.007500000000000,6735.000000000000000,841.875000000000000,54041.000000000000000
177,3,Brooklyn,047,BK83,Cypress Hills-City Line,35539.180206300000000,27610983.967599999000000,8380.000000000000000,2793.333333330000200,49223.000000000000000
178,1,Manhattan,061,MN40,Upper East Side-Carnegie Hill,23778.410764100001000,20065364.171399999000000,6712.000000000000000,6712.000000000000000,61207.000000000000000
179,1,Manhattan,061,MN14,Lincoln Square,19866.053517699998000,15805638.437799999000000,5823.000000000000000,1941.000000000000000,61489.000000000000000
180,1,Manhattan,061,MN33,East Harlem South,18625.067852200002000,16650688.382600000000000,8401.000000000000000,763.727272727000010,57902.000000000000000
181,3,Brooklyn,047,BK99,park-cemetery-etc-Brooklyn,394716.132206999990000,228898277.528000000000000,206.000000000000000,12.117647058799999,418.000000000000000
182,4,Queens,081,QN99,park-cemetery-etc-Queens,490426.752733999980000,311645090.523999990000000,28.000000000000000,1.166666666670000,436.000000000000000
183,1,Manhattan,061,MN99,park-cemetery-etc-Manhattan,155078.174862000010000,91540708.877499998000000,0.000000000000000,0.000000000000000,1849.000000000000000
184,2,Bronx,005,BX28,Van Cortlandt Village,21945.719848199999000,25666125.194400001000000,9097.000000000000000,1819.400000000000100,50100.000000000000000
185,1,Manhattan,061,MN09,Morningside Heights,20744.331519300002000,20158981.847800002000000,4804.000000000000000,369.538461537999980,55929.000000000000000
186,1,Manhattan,061,MN12,Upper West Side,29158.153314200001000,34380394.532399997000000,13635.000000000000000,909.000000000000000,132378.000000000000000
187,1,Manhattan,061,MN22,East Village,13539.253529800000000,10896914.572100000000000,1900.000000000000000,380.000000000000000,44136.000000000000000
188,1,Manhattan,061,MN28,Lower East Side,25466.611465000002000,23297765.694200002000000,8351.000000000000000,521.937500000000000,72957.000000000000000
189,1,Manhattan,061,MN35,Washington Heights North,26672.985433500002000,22660613.519000001000000,8618.000000000000000,957.555555555999940,67136.000000000000000
190,1,Manhattan,061,MN36,Washington Heights South,22095.210900200000000,23100476.760600001000000,9954.000000000000000,1422.000000000000000,84438.000000000000000
